pair_id,domain,register,en,zh,ru,uz,generation_model
syn_000115,public_transport,neutral,"No, this train doesn’t stop at Yunusabad — you’ll need to change at Beruniy.",不，这趟列车不停靠云纳萨巴德站——您需要在贝鲁尼站换乘。,"Нет, этот поезд не останавливается на станции Юнусабад — вам нужно пересесть на станции Беруни.","Yo‘q, bu poyezd Yunusobod bekatida to‘xtamaydi — siz Beruniyda almashtirishingiz kerak.",qwen-plus
syn_000116,public_transport,polite,My phone died — could I borrow your charger for five minutes?,我的手机没电了——能借您的充电器用五分钟吗？,У меня разрядился телефон — можно я воспользуюсь вашим зарядным устройством на пять минут?,Mening telefonim quvvatini yo‘qotdi — besh daqiqa uchun sizning zaryadlagichingizni istifoda qilishim mumkinmi?,qwen-plus
syn_000117,public_transport,neutral,The fare increased by 500 sum last month.,上个月票价上涨了500苏姆。,Тариф повысился на 500 сумов в прошлом месяце.,Tarif o‘tgan oyda 500 so‘mga ko‘paytirildi.,qwen-plus
syn_000118,public_transport,informal,Wait — the door’s still opening!,等等——门还没完全打开！,Подождите — дверь ещё открывается!,Kuting — eshik hali ochilmoqda!,qwen-plus
syn_000119,public_transport,neutral,Is there a direct bus from Navoi Airport to the city center?,纳沃伊机场有直达市中心的巴士吗？,Есть ли прямой автобус из аэропорта Навои в центр города?,Navoiy aeroportidan shahodat markaziga to‘g‘ridan-to‘g‘ri avtobus borimi?,qwen-plus
syn_000120,public_transport,informal,Thanks for holding the door — really appreciate it!,谢谢您帮我扶着门——太感谢了！,"Спасибо, что подержали дверь — очень приятно!",Eshikni ushlab turganingiz uchun rahmat — haqiqatan ham minnatdorman!,qwen-plus
syn_000121,taxi_driving,polite,Can you drop me off at 42 Maple Street in ten minutes?,您能在十分钟内把我送到枫树街42号吗？,"Можно вас попросить подвезти меня до улицы Мэйпл, 42, за десять минут?",Oʻn daqiqa ichida menga 42-sonli Mapl koʻchasiga tushib berishingiz mumkinmi?,qwen-plus
syn_000122,taxi_driving,polite,"The fare to the airport is 38 euros, please.",到机场的车费是38欧元，谢谢。,"Стоимость поездки в аэропорт — 38 евро, пожалуйста.","Aeroportga borish uchun toʻlov 38 yevro, iltimos.",qwen-plus
syn_000123,taxi_driving,informal,"Hey, driver — left at the next light, not right!",嘿，司机——下一个红绿灯左转，不是右转！,"Эй, водитель — на следующем светофоре налево, а не направо!","Salom, haydovchi — keyingi chiroqda chapga buriling, oʻngga emas!",qwen-plus
syn_000124,taxi_driving,polite,I’m running late — please drive a bit faster.,我快迟到了，请开快一点。,"Я опаздываю — пожалуйста, немного быстрее.","Men kechikmoqdaman — iltimos, biroz tezroq haydang.",qwen-plus
syn_000125,taxi_driving,neutral,Is this taxi licensed? I need the license number.,这辆出租车有营运执照吗？我需要执照号码。,Этот такси лицензирован? Мне нужен номер лицензии.,Bu taksi litsenziyalanganmi? Menga litsenziya raqami kerak.,qwen-plus
syn_000126,taxi_driving,polite,"Sorry, I forgot my wallet — can I pay you later?",抱歉，我忘带钱包了，可以稍后付钱吗？,"Извините, я забыл кошелёк — могу я заплатить вам позже?","Kechirasiz, portfelimni unutdim — keyinroq toʻlashim mumkinmi?",qwen-plus
syn_000127,taxi_driving,neutral,"Turn right after the blue pharmacy, then stop.",蓝色药店之后右转，然后停车。,"Поверните направо после синей аптеки, затем остановитесь.","Koʻk dorixona keyin oʻngga buriling, soʻngra toʻxtang.",qwen-plus
syn_000128,taxi_driving,neutral,How much for a ride to Central Station before 6 a.m.?,凌晨6点前到中央车站要多少钱？,Сколько стоит поездка на Центральный вокзал до 6 утра?,Markaziy stansiyaga soat 6 dan oldin borish narxi qancha?,qwen-plus
syn_000129,taxi_driving,neutral,"No, I don’t want the window open — it’s too cold.",不，我不想开窗——太冷了。,"Нет, я не хочу открывать окно — слишком холодно.","Yoʻq, men oynani ochmoqchi emasman — juda sovuq.",qwen-plus
syn_000130,taxi_driving,polite,Could you help me with these two suitcases? Thanks!,您能帮我拿这两个行李箱吗？谢谢！,Не могли бы вы помочь мне с этими двумя чемоданами? Спасибо!,"Iltimos, ushbu ikkita sutyazhniklarim bilan yordam bera olasizmi? Rahmat!",qwen-plus
syn_000131,taxi_driving,neutral,My phone died — just take me to the Hilton on 5th Ave.,我的手机没电了——直接送我去第五大道的希尔顿酒店。,У моего телефона разрядился аккумулятор — просто отвезите меня в отель «Хилтон» на Пятой авеню.,Mening telefonim quvvatini yoʻqotdi — menga bevosita 5-avendagi Hilton mehmonxonasiga yetkazing.,qwen-plus
syn_000132,taxi_driving,neutral,Wait — I need to call my friend first.,等等——我得先给朋友打个电话。,Подождите — мне нужно сначала позвонить другу.,Kuting — avval doʻstim bilan qoʻngʻiroq qilishim kerak.,qwen-plus
syn_000133,taxi_driving,neutral,"The GPS says 12 minutes, but traffic looks bad.",导航显示还有12分钟，但路况看起来很糟。,"GPS показывает 12 минут, но пробки выглядят серьёзно.","GPS 12 daqiqa deb aytmoqda, lekin harakat ayniqsa yomon.",qwen-plus
syn_000134,taxi_driving,polite,Please don’t smoke — I have allergies.,请不要吸烟——我对烟过敏。,"Пожалуйста, не курите — у меня аллергия.","Iltimos, chekishmang — mening allergiyam bor.",qwen-plus
syn_000135,taxi_driving,informal,Are we there yet? I’m really nervous about missing my flight.,我们到了吗？我特别担心误了航班。,"Мы уже приехали? Я очень волнуюсь, что опоздаю на рейс.",Biz bormi? Parvozimni qoʻldan berishdan juda qoʻrqaman.,qwen-plus
syn_000136,taxi_driving,neutral,"That’s 27.50 dollars — here’s thirty, keep the change.",一共27.50美元——这是30美元，不用找零了。,"Это 27,50 доллара — вот тридцать, оставьте себе сдачу.","Bu 27,50 AQSH dollari — bu oʻttiz dollar, qaytimni oling.",qwen-plus
syn_000137,taxi_driving,polite,Can you turn down the radio? My headache is getting worse.,能把收音机声音调小点吗？我的头痛越来越严重了。,Можно убавить радио? У меня всё сильнее болит голова.,Radio ovozini pasaytirishingiz mumkinmi? Bosh ogʻrimoqda.,qwen-plus
syn_000138,taxi_driving,neutral,I booked this ride at 3:15 p.m. — why is the car late?,我下午3点15分预约的这趟车——为什么车还没到？,Я заказал эту поездку в 15:15 — почему машина опаздывает?,Men bu avtomashinani soat 15:15 da buyurtma qildim — nima uchun avtomashina kechikmoqda?,qwen-plus
syn_000139,taxi_driving,neutral,Just drop me at the corner — I’ll walk the rest.,就在街角放我下来吧，剩下的路我自己走。,Просто оставьте меня на углу — остальной путь я пройду пешком.,Meni burchakda tushiring — qolgan qismini oʻzim yurib boraman.,qwen-plus
syn_000140,taxi_driving,informal,Thanks for helping me find that lost earring — you’re awesome!,谢谢您帮我找到那只丢掉的耳环——您真棒！,"Спасибо, что помогли найти потерянную серёжку — вы просто молодец!",Yoʻqolgan sirgʻamni topishda yordamingiz uchun rahmat — ajoyib odamsiz!,qwen-plus
syn_000141,hotel,polite,Could you please tell me where the elevator is?,请问电梯在哪里？,"Не могли бы вы, пожалуйста, сказать мне, где лифт?","Iltimos, lift qayerda ekanligini ayta olasizmi?",qwen-plus
syn_000142,hotel,neutral,I booked room 307 for three nights starting tomorrow.,我预订了307号房间，从明天起住三晚。,"Я забронировал номер 307 на три ночи, начиная с завтрашнего дня.",Men ertadan boshlab uch kunlik 307-xona bron qildim.,qwen-plus
syn_000143,hotel,neutral,Is breakfast included in the price?,早餐包含在房价里吗？,Завтрак включён в стоимость?,Nonushta narxga kiritilganmi?,qwen-plus
syn_000144,hotel,neutral,"No, we don’t serve lunch on weekends.",不，我们周末不提供午餐。,"Нет, по выходным мы не обслуживаем обед.","Yo'q, biz dam olish kunlarida tushlik beramiz.",qwen-plus
syn_000145,hotel,neutral,The Wi-Fi password is ‘hotel2024’ — all lowercase.,Wi-Fi密码是‘hotel2024’，全部小写。,"Пароль от Wi-Fi — «hotel2024», строчные буквы.","Wi-Fi paroli — ‘hotel2024’, barchasi kichik harflar bilan.",qwen-plus
syn_000146,hotel,informal,Can I get an extra towel right now?,我现在能再拿一条毛巾吗？,Можно мне ещё одно полотенце прямо сейчас?,Hozir bir dona qo'shimcha sovut olishim mumkinmi?,qwen-plus
syn_000147,hotel,polite,Please wake me up at 6:15 a.m. tomorrow.,请明天早上6点15分叫醒我。,"Пожалуйста, разбудите меня завтра в 6:15 утра.","Iltimos, ertangi kuni soat 6:15 da menga turgizib bering.",qwen-plus
syn_000148,hotel,neutral,Room 212’s AC isn’t working — can someone check it?,212号房间的空调坏了——能派人来检查一下吗？,В номере 212 не работает кондиционер — можно кого-нибудь вызвать для проверки?,212-xonadagi konditsioner ishlamayapti — uni tekshirish uchun kimdir kelishini so'rash mumkinmi?,qwen-plus
syn_000149,hotel,informal,We need two more pillows — thanks!,我们需要再加两个枕头——谢谢！,Нам нужно ещё два подушки — спасибо!,Bizga yana ikkita yostiq kerak — rahmat!,qwen-plus
syn_000150,hotel,neutral,Is there a laundry service available today?,今天提供洗衣服务吗？,Сегодня доступна услуга прачечной?,Bugun kir yuvish xizmati mavjudmi?,qwen-plus
syn_000151,hotel,neutral,The key card stopped working after yesterday’s power outage.,门禁卡在昨天停电后就失灵了。,Карточный ключ перестал работать после вчерашнего отключения электричества.,Kalit karta kecha elektr to'xtab qolganidan keyin ishlamay qoldi.,qwen-plus
syn_000152,hotel,polite,"Sorry, but I’d like to cancel my reservation for August 12.",抱歉，我想取消8月12日的预订。,"Извините, но я хотел(а) бы отменить бронирование на 12 августа.","Uzr, lekin 12-avgustdagi bronimni bekor qilmoqchiman.",qwen-plus
syn_000153,hotel,neutral,Do you accept payments in euros?,你们接受欧元付款吗？,Принимаете ли вы оплату в евро?,Siz evro bilan to'lov qabul qilasizmi?,qwen-plus
syn_000154,hotel,polite,Check-out is at noon — can I keep the room until 2 p.m.?,退房时间是中午12点——我能把房间留到下午2点吗？,Выезд — в полдень. Можно ли оставить номер до 14:00?,Chiqish vaqti — soat 12:00. Xonani soat 14:00 gacha saqlashim mumkinmi?,qwen-plus
syn_000155,hotel,neutral,The showerhead in room 409 is loose and leaking.,409号房间的花洒松动且漏水。,Душевая насадка в номере 409 расшатана и течёт.,409-xonadagi dush boshlig'i loyqa va suv o'tkazmoqda.,qwen-plus
syn_000156,hotel,neutral,"Yes, parking is free for guests staying three or more nights.",是的，住三晚或以上的客人可免费停车。,"Да, парковка бесплатна для гостей, проживающих три и более ночей.","Ha, uch yoki undan ko'proq tun qoladigan mehmonlar uchun avtoturargoh bepul.",qwen-plus
syn_000157,hotel,neutral,Where’s the nearest ATM? I need to withdraw 500 yuan.,最近的ATM在哪儿？我要取500元。,Где ближайший банкомат? Мне нужно снять 500 юаней.,Eng yaqin bankomat qayerda? Menga 500 yuanni yechib olish kerak.,qwen-plus
syn_000158,hotel,polite,Could we get the bill split into two separate receipts?,能把账单分成两张单独的收据吗？,Можно ли разделить счёт на два отдельных чека?,Hisobni ikkita alohida chiqimga bo'lishimiz mumkinmi?,qwen-plus
syn_000159,hotel,neutral,No smoking in rooms — it’s against hotel policy.,客房内禁止吸烟——这是酒店规定。,Курение в номерах запрещено — это правило отеля.,Xonalarda chekish taqiqlangan — bu mehmonxona qoidasidir.,qwen-plus
syn_000160,hotel,informal,Thanks for upgrading us to a suite — really appreciate it!,谢谢把我们升级到套房——非常感谢！,Спасибо за апгрейд до люкса — очень ценим!,Bizni lyuks xonaga o'tkazganingiz uchun rahmat — haqiqatan ham minnatdorlik bildiramiz!,qwen-plus
syn_000161,restaurant,polite,"Could we get two more napkins, please?",我们能再要两张餐巾纸吗？,"Можно нам ещё две салфетки, пожалуйста?","Iltimos, ikkita qo‘shimcha sovun olishimiz mumkinmi?",qwen-plus
syn_000162,restaurant,polite,The soup is cold — can you warm it up?,这汤是凉的——您能给加热一下吗？,Суп остыл — можно его подогреть?,Suv sovuq — uni isitib berishingiz mumkinmi?,qwen-plus
syn_000163,restaurant,neutral,We’ll split the bill evenly.,我们平摊账单。,Мы разделим счёт поровну.,Biz hisobni teng taqsimlaymiz.,qwen-plus
syn_000164,restaurant,neutral,Is the chef’s special available today?,今天主厨特餐有吗？,Сегодня есть блюдо шеф-повара?,Bugun shifokorning maxsus taomi mavjudmi?,qwen-plus
syn_000165,restaurant,neutral,"No, I’m not allergic to peanuts.",不，我对花生不过敏。,"Нет, у меня нет аллергии на арахис.","Yo‘q, men yerni o‘simligiga allergik emasman.",qwen-plus
syn_000166,restaurant,informal,This dish has way too much salt.,这道菜盐放得太多了。,В этом блюде слишком много соли.,Ushbu taomda juda ko‘p tuz bor.,qwen-plus
syn_000167,restaurant,polite,Can I substitute fries for salad?,我能把薯条换成沙拉吗？,Можно заменить картошку фри на салат?,Men friy kartoshkani salatga almashtirishim mumkinmi?,qwen-plus
syn_000168,restaurant,neutral,We booked a table for four at 7:30.,我们预订了晚上7:30四人桌。,Мы забронировали столик на четверых на 19:30.,Biz to‘rt kishilik stolni soat 19:30 da bron qildik.,qwen-plus
syn_000169,restaurant,polite,"Sorry, I spilled water on the menu.",抱歉，我把水洒在菜单上了。,"Извините, я пролил воду на меню.","Kechirasiz, men menyuga suv quydim.",qwen-plus
syn_000170,restaurant,neutral,Do you serve gluten-free bread here?,你们这里提供无麸质面包吗？,У вас здесь есть безглютеновый хлеб?,Sizda glutenli bo‘lmagan non bor mi?,qwen-plus
syn_000171,restaurant,polite,The coffee tastes bitter — maybe less espresso next time?,这咖啡尝起来很苦——下次少放点意式浓缩咖啡？,Кофе горький — в следующий раз можно меньше эспрессо?,Kofe gorchak — keyingi safar kamroq espresso qo‘yish mumkinmi?,qwen-plus
syn_000172,restaurant,neutral,We’re running late — our reservation is for 6:45.,我们快迟到了——我们的预订时间是6:45。,Мы опаздываем — наше бронирование на 18:45.,Biz kechikyapmiz — bizning bron qilgan vaqtimiz soat 18:45.,qwen-plus
syn_000173,restaurant,neutral,"That’s £12.95, including tax and service.",一共12.95英镑，含税和服务费。,"Это 12,95 фунта стерлингов, включая налог и обслуживание.","Bu 12,95 funt sterling, soliq va xizmatlar bilan birga.",qwen-plus
syn_000174,restaurant,polite,Could my order be made without onions? Thanks!,我的订单能不加洋葱吗？谢谢！,Можно приготовить мой заказ без лука? Спасибо!,Mening buyurtkam piyozsiz tayyorlanishi mumkinmi? Rahmat!,qwen-plus
syn_000175,restaurant,neutral,Is dessert included in the set menu?,套餐里包含甜点吗？,Десерт входит в состав комплексного меню?,Desert komplekt menyu tarkibiga kiradi mi?,qwen-plus
syn_000176,restaurant,neutral,I’ll have the grilled salmon with lemon butter sauce.,我要烤三文鱼配柠檬黄油酱。,Я возьму запечённого лосося с соусом из лимона и масла.,Men limonli sariyog‘li grill qilingan losos olaman.,qwen-plus
syn_000177,restaurant,polite,"Waiter, could you check if our appetisers are ready?",服务员，您能看看我们的开胃菜好了吗？,"Официант, не проверите ли, готовы ли наши закуски?","Ofitsiant, bizning noxatlariymiz tayyorligini tekshirib bera olasizmi?",qwen-plus
syn_000178,restaurant,informal,They forgot the extra cheese on my pizza.,他们忘了在我披萨上加额外的奶酪。,Они забыли добавить дополнительный сыр на мою пиццу.,Ular mening pitsamga qo‘shimcha pishloq qo‘ymay qo‘yishdi.,qwen-plus
syn_000179,restaurant,neutral,How long does the weekend brunch usually take?,周末早午餐通常要多久？,Сколько обычно длится бранч по выходным?,Dam olish kunidagi brunch odatda qancha vaqt oladi?,qwen-plus
syn_000180,restaurant,informal,Please don’t put parsley on my plate — I hate it.,请别在我的盘子里放欧芹——我讨厌它。,"Пожалуйста, не кладите петрушку на мою тарелку — я её ненавижу.","Iltimos, menga badravul qo‘ymang — men uni yaxshi ko‘rmayman.",qwen-plus
syn_000181,shopping,polite,Do you have this shirt in size medium?,这件衬衫有中号的吗？,У вас есть эта рубашка размера M?,Bu ko'ylakning o'rta hajmi bormi?,qwen-plus
syn_000182,shopping,polite,"I’ll take three of these coffee mugs, please.",我要买这三个咖啡杯，谢谢。,"Я возьму три этих кофейных кружки, пожалуйста.","Iltimos, ushbu uchta kofe chashkasi menga kerak.",qwen-plus
syn_000183,shopping,neutral,Is this organic quinoa on sale this week?,这有机藜麦这周打折吗？,Этот органический киноа по акции на этой неделе?,Bu organik quinoa ushbu haftada aksiya doirasida mi?,qwen-plus
syn_000184,shopping,neutral,"No, I don’t need a bag — I brought my own.",不用，我不需要袋子——我自带了。,"Нет, мне не нужна сумка — я принёс свою.","Yo'q, menga qopqoq kerak emas — o'zimnikini olib kelganman.",qwen-plus
syn_000185,shopping,polite,How much is the blue ceramic vase? It’s beautiful.,那个蓝色陶瓷花瓶多少钱？真漂亮。,Сколько стоит синяя керамическая ваза? Она очень красивая.,Ko'k sopol vazaning narxi qancha? U juda chiroyli.,qwen-plus
syn_000186,shopping,polite,Can I return these shoes tomorrow? The receipt is here.,我明天可以退这双鞋吗？小票在这儿。,Можно ли вернуть эти туфли завтра? Чек здесь.,Bu etikatlarni ertaga qaytarishim mumkinmi? Chiqim kvitansiya shu yerda.,qwen-plus
syn_000187,shopping,neutral,We’re out of avocado toast kits after 4 p.m. daily.,我们每天下午4点后就售罄牛油果吐司套装。,Наборы для тостов с авокадо заканчиваются ежедневно после 16:00.,Avokado tostlar uchun to'plamlar har kuni soat 16:00 dan keyin tugaydi.,qwen-plus
syn_000188,shopping,polite,Could you check if item #88212 is in stock?,您能查一下编号88212的商品是否有货吗？,Не могли бы вы проверить наличие товара № 88212?,"Iltimos, #88212 raqamli mahsulotning bor-yo'qligini tekshirib bering.",qwen-plus
syn_000189,shopping,informal,Just browsing — thanks anyway!,随便看看——还是谢谢啦！,Просто осматриваюсь — всё равно спасибо!,Faqat ko'rinib o'tyapman — barcha rahmat!,qwen-plus
syn_000190,shopping,neutral,This scarf costs ¥298 — is tax included?,这条围巾售价298元——含税吗？,Этот шарф стоит 298 юаней — включены ли налоги?,Ushbu shalning narxi 298 yuannya — soliq kiritilganmi?,qwen-plus
syn_000191,shopping,polite,"Sorry, we only accept returns within 14 days.",抱歉，我们只接受14天内的退货。,"Извините, мы принимаем возвраты только в течение 14 дней.","Kechirasiz, biz faqat 14 kun ichida qaytarilgan mahsulotlarni qabul qilamiz.",qwen-plus
syn_000192,shopping,informal,Got it — I’ll pay by mobile QR code.,明白了——我用手机二维码付款。,Понял — оплачу через мобильный QR-код.,Tushundim — mobil QR-kod orqali to'layman.,qwen-plus
syn_000193,shopping,neutral,Are the black wireless earbuds fully charged?,黑色无线耳塞充满电了吗？,Чёрные беспроводные наушники полностью заряжены?,Qora simsiz quloqchinlar to'liq zaryadlanganmi?,qwen-plus
syn_000194,shopping,polite,I’d like to exchange this dress for a larger size.,我想把这条裙子换成大一号的。,Я хотел(а) бы обменять это платье на больший размер.,Men ushbu ko'ylakni kattaroq o'lchamga almashtirishni istardim.,qwen-plus
syn_000195,shopping,informal,Check out aisle 7 — they just restocked the oat milk.,去7号通道看看——燕麦奶刚补完货。,Загляните в проход 7 — туда только что привезли овсяное молоко.,7-sonli yo'lakka tashrif buyuring — ularga o'simlik suti yangilab qo'yilgan.,qwen-plus
syn_000196,shopping,polite,That’s over budget — can you suggest something under ¥150?,超预算了——能推荐150元以内的吗？,Это выше бюджета — можете порекомендовать что-нибудь до 150 юаней?,Bu byudjetdan oshib ketdi — 150 yuannya dan arzonroq nima tavsiya qilishingiz mumkin?,qwen-plus
syn_000197,shopping,neutral,We close at 9 p.m. sharp — no exceptions.,我们晚上9点准时关门——概不例外。,Мы закрываемся ровно в 21:00 — без исключений.,Biz soat 21:00 da aniq yopilamiz — istisno yo'q.,qwen-plus
syn_000198,shopping,informal,Love this backpack! How many colors do you have?,超爱这个双肩包！有几种颜色？,Обожаю этот рюкзак! Сколько у вас цветов?,Bu ransele juda yaxshi! Necha xil rangda bor?,qwen-plus
syn_000199,shopping,polite,Please hold my order #A9302 until Friday.,请将我的订单A9302保留到周五。,"Пожалуйста, сохраните мой заказ № A9302 до пятницы.","Iltimos, mening buyurtqam #A9302 ni juma kungacha saqlab qo'ying.",qwen-plus
syn_000200,shopping,neutral,Wait — did you say ‘free shipping on orders over ¥399’?,等等——您说的是‘满399元包邮’吗？,Подождите — вы сказали «бесплатная доставка при заказе от 399 юаней»?,Biroz kutib turing — siz «399 yuannya dan yuqori buyurtmalarga bepul yetkazib berish» dedingizmi?,qwen-plus
